seed,lambda,cap,ok,moves,trigger_overlap,time_s
2045,1.0,2,True,25,0.12,2.048
2045,1.0,4,True,31,0.1935,2.305
2045,1.0,none,True,31,0.1935,2.221
2046,1.0,1,False,,,29.289
2046,1.0,2,True,32,0.4062,9.542
2046,1.0,4,True,33,0.3636,7.453
2046,1.0,none,True,30,0.3333,7.818
2047,1.0,1,True,26,0.2692,0.71
2047,1.0,2,True,30,0.3667,0.875
2047,1.0,4,True,30,0.3667,1.083
2047,1.0,none,True,30,0.3667,1.09
2048,1.0,1,True,22,0.1364,0.094
2048,1.0,2,True,22,0.1364,0.091
2048,1.0,4,True,32,0.5625,1.85
2048,1.0,none,True,32,0.5625,1.842
2049,1.0,1,True,24,0.0,0.683
2049,1.0,2,True,24,0.0,0.873
2049,1.0,4,True,24,0.0,1.412
2049,1.0,none,True,24,0.0,1.404
2050,1.0,1,True,24,0.25,1.25
2050,1.0,2,True,24,0.25,1.447
2050,1.0,4,True,25,0.52,1.906
2050,1.0,none,True,25,0.52,1.895
2051,1.0,1,True,27,0.1111,0.49
2051,1.0,2,True,27,0.1111,0.379
2051,1.0,4,True,29,0.2759,0.916
2051,1.0,none,True,29,0.2759,0.869
2052,1.0,1,True,23,0.0,1.237
2052,1.0,2,True,24,0.2917,1.247
2052,1.0,4,True,24,0.2917,1.816
2052,1.0,none,True,24,0.2917,1.797
2053,1.0,1,False,,,29.142
2053,1.0,2,False,,,28.267
2053,1.0,4,False,,,26.79
2053,1.0,none,True,33,0.1818,16.91
2054,1.0,1,False,,,27.366
2054,1.0,2,True,30,0.3333,2.819
2054,1.0,4,True,30,0.3333,2.668
2054,1.0,none,True,30,0.3333,2.446
2055,1.0,1,True,26,0.1154,0.464
2055,1.0,2,True,26,0.1154,0.531
2055,1.0,4,True,31,0.4839,0.204
2055,1.0,none,True,31,0.4839,0.205
2056,1.0,1,True,23,0.1304,5.369
2056,1.0,2,True,26,0.3077,5.851
2056,1.0,4,True,30,0.3,1.891
2056,1.0,none,True,30,0.3,1.945
2057,1.0,1,True,24,0.125,1.701
2057,1.0,2,True,24,0.125,0.289
2057,1.0,4,True,24,0.125,0.28
2057,1.0,none,True,24,0.125,0.276
2058,1.0,1,False,,,30.052
2058,1.0,2,False,,,28.814
2058,1.0,4,True,31,0.4516,8.252
2058,1.0,none,True,31,0.4516,8.61
2059,1.0,1,True,26,0.1154,0.874
2059,1.0,2,True,26,0.1154,1.01
2059,1.0,4,True,28,0.3929,1.145
2059,1.0,none,True,28,0.3929,1.108
